id профессии;Профессия;
2641;Писатель;"писательница; автор; фантаст; поэт; копирайтер; рерайтер; райтер"
2642;Журналист;"ведущий; журналистка; телеведущий; радиоведущий"
2643;Редактор;"корректор; Бильдредактор; Вычитчик; Литред; техред"
2644;Event-менеджер;"ивент; эвент; организатор"
2645;Пресс-секретарь;
2646;Переводчик;"лингвист; филолог; синхронист; письменный перевод; устный перевод; художественный перевод"
2647;Лингвист;"Переводчик;филолог; языковед; диалектолог"
2161;Архитектор;"Градостроитель, дизайнер интерьера; интерьер"
2162;Дизайнер одежды;"фэшн дизайнер; Fasion; модельер; закройщик; ателье; мода"
2163;Графический дизайнер;"графдизайн;"
2164;Геодезист;"геодез; кадастровый; земельный; инженер геодезист;"
2165;Картограф;Топограф
2421;Бизнес-консультант;"Консалтинг; business"
2422;Лоббист;"GR; лобизм"
2423;HR-менеджер;"подбор персонала; Менеджер по персоналу; рекрутер; ресечер"
2424;Бизнес-тренер;"коуч;бизнес коуч; тренинг тренер; тренер тренеров; супервайзер"
2121;Математик;"ученый; Учитель математики"
2122;Статистик;Аналитик
;;
2659;Скульптор;ваятель
2654;Композитор;сочинитель
2652;Музыкант;"исполнитель; музыкальные инструменты; инструментальщик; гитарист; скрипач; скрипачка; пианист; барабанщик; трубач; саксофонист"
2651;Художник;"Живописец; графист; рисунок;рисовать"
2653;Певец;"Певица; эстрадный; исполнитель; "
2657;Актер;"кино; театр; артист"
2655;Режиссер;"драматург; постановщик;"
2656;Продюсер;"Менеджер проектов; кинопродюсер; создатель"
2658;Диктор;"диктатор; ведущий; спортивный комментатор"
2660;Дирижер;
2661;Реставратор;
;;
2512;Программист;"it; разработчик"
2511;Системный аналитик;"it; Программист; аналитик; "
2513;IT-Тестировщик ;"it; Программист; QA; Engeneer"
2514;Разработчик интерфейсов;"it; Программист; разработчик"
2515;Product-менеджер;"it; Программист; разработчик; продакт менеджер; product owner; "
2521;Инженер Big Data ;"it; Программист; разработчик; data scientist; "
2522;Системный администратор;"it; Программист; разработчик; сисадмин"
2523;Специалист по информационной безопасности;"it; Программист; разработчик; безопасник; информационная безопасность"
;;
2431;Менеджер по рекламе;рекламщик
2432;PR-менеджер;"пиарщик; пиар"
2433;Маркетолог;таргетолог
2434;SMM-менеджер;"сммщик; смм; соцсети"
2435;Торговый представитель;"продажи; коммерция; торговое дело; менеджер по продажам; экономист"
2436;Логист;"перевозки; трансфер"
;;
2611;Юрист;"адвокат; нотариус; юрисконсульт"
2612;Судья;Судебный секретарь
2615;Полицейский;"судебный пристав; опер; участковый; милионер; офицер полиции; следователь"
2614;Патентовед;"Оценщик; "
2616;Судебный эксперт;"Судэксерт; экспертиза; криминалист"
;;
2111;Физик;"ученый;"
2112;Астроном;"ученый;"
2113;Метеоролог;гидролог
2114;Химик;"ученый; химик-технолог"
2115;Геолог;геодезист
2116;Геофизик;геолог
;;
2311;Преподаватель-профессор;"вузовский преподаватель; ассистент; аспирант"
2331;Учитель;Педагог
2341;Воспитатель детского сада;"няня; дошкольный; педагог по развитию"
2342;Педагог дополнительного образования;"трудовик; труды; технология; учитель технологии; учитель трудов; кружок"
2351;Методист;"завуч; автор учебников; методолог"
2352;Спортивный тренер;"тренер; баскетбольный; футбольный; инструктор; фитнес-инструктр; спортсмен"
2353;Учитель музыки;музыкант
2354;Хореограф;"танцор; танцовщик; балерина; балетмейстер; постановщик танца"
2355;Дефектолог;"логопед; сурдопереводчик"
2356;Тьютор;"наставник; психолог; педагог"
;;
2264;Диетолог;врач
2265;Ветеринар;врач
2266;Судмедэксперт;патологоанатом
2262;Провизор;"фармацевт; аптекарь"
2263;Врач ЛФК;"лечебная физра; физкультура"
2211;Врач-терапевт;"терапевт; участковый врач; дежурный"
2212;Патологоанатом;"врач; судмедэксперт"
2213;Педиатр;"врач; детский врач; неонолог"
2214;Психиатр;"врач; психолог; "
2215;Хирург;"врач; кардиохирург; пластический; "
2216;Офтальмолог;"врач; окулист; глазной"
2217;Гинеколог;"врач; акушер"
;;
2141;Инженер-конструктор;"автомобиле; машины"
2142;Инженер-строитель;прораб
2144;Горный инженер;маркшейдер
2145;Инженер-электрик;электрик
2152;Сетевой инженер;"it; программист"
;;
2411;Бухгалтер;"экономист;бухучет"
2412;Аудитор;"экономист; коммерческий"
2413;Финансовый аналитик;"экономист; финансист; коммерция"
2414;Эксперт-оценщик;"экономист; оценщик"
2415;Брокер;"экономист; букмейкер; трейдер; торги"
;;
2131;Биолог;ученый
2132;Ботаник;"ученый; цветовод; флорист"
2133;Зоолог;"ученый; животновод; животновед; зоотехник"
2134;Агроинжнер;"агроном; инженер аргроном; фермер"
2135;Почвовед;"ученый;"
2136;Эколог;"инженер-эколог; техносфера"
;;
2621;Музеолог;музейный работник
2622;Искусствовед;"Критик; кинокритик; театровед"
2623;Историк;"ученый;"
2632;Социолог;"ученый; статистик"
2631;Антрополог;"социолог; учебный"
2633;Политолог;"дипломат; политик"
2634;Археолог;"ученый; историк"
2635;Социальный работник;
2636;Священник;"монах; поп; дьякон; "
2637;Дипломат;"международник; политик"
